Data;Klientka;Usluga;Kategoria;Pracownik;Czas_min;Cena
2026-05-23;Beata Baran;Upięcie okolicznościowe;Stylizacja;Karolina Bąk;90;150
2026-05-23;Agnieszka Wieczorek;Podcięcie końcówek;Strzyżenie;Ewa Kowalczyk;30;50
2026-05-23;Joanna Wójcik;Prostowanie;Stylizacja;Karolina Bąk;55;80
2026-05-25;Patrycja Nowak;Koloryzacja jednolita;Koloryzacja;Ewa Kowalczyk;115;180
2026-05-26;Aleksandra Adamczyk;Strzyżenie męskie;Strzyżenie;Ewa Kowalczyk;30;45
2026-05-27;Magdalena Baran;Maska regenerująca;Pielęgnacja;Marta Zielińska;25;60
2026-05-29;Iwona Górska;Koloryzacja jednolita;Koloryzacja;Ewa Kowalczyk;120;180
2026-05-29;Klaudia Baran;Strzyżenie dziecięce;Strzyżenie;Karolina Bąk;30;35
2026-05-30;Weronika Pawlak;Modelowanie;Stylizacja;Ewa Kowalczyk;20;60
2026-05-30;Karolina Król;Keratynowe prostowanie;Pielęgnacja;Karolina Bąk;195;350
